# Source: pgeocode/GeoNames (https://www.geonames.org/) — CC BY 4.0
# Downloaded: 2026-04-10
# Fields: zip, lat, lng, city, state_id, state_name, county
zip,lat,lng,city,state_id,state_name,county
99545,59.9599,-162.8919,Kongiganak,AK,Alaska,Bethel Census Area
99551,60.9094,-161.4314,Akiachak,AK,Alaska,Bethel Census Area
99552,60.9122,-161.2139,Akiak,AK,Alaska,Bethel Census Area
99557,61.5783,-159.5222,Aniak,AK,Alaska,Bethel Census Area
99559,60.7922,-161.7558,Bethel,AK,Alaska,Bethel Census Area
99561,60.1537,-164.2103,Chefornak,AK,Alaska,Bethel Census Area
99575,61.8181,-158.0025,Crooked Creek,AK,Alaska,Bethel Census Area
99578,60.2151,-162.0323,Eek,AK,Alaska,Bethel Census Area
99589,59.1189,-161.5875,Goodnews Bay,AK,Alaska,Bethel Census Area
99607,61.541,-160.3261,Kalskag,AK,Alaska,Bethel Census Area
99609,60.8956,-162.5181,Kasigluk,AK,Alaska,Bethel Census Area
99614,59.9232,-164.101,Kipnuk,AK,Alaska,Bethel Census Area
99621,60.8122,-161.4358,Kwethluk,AK,Alaska,Bethel Census Area
99622,59.8644,-163.1342,Kwigillingok,AK,Alaska,Bethel Census Area
99626,61.5138,-160.36,Lower Kalskag,AK,Alaska,Bethel Census Area
99630,60.3657,-166.2836,Mekoryuk,AK,Alaska,Bethel Census Area
99634,60.6967,-161.9519,Napakiak,AK,Alaska,Bethel Census Area
99637,60.5338,-165.1037,Toksook Bay,AK,Alaska,Bethel Census Area
99641,60.8969,-162.4594,Nunapitchuk,AK,Alaska,Bethel Census Area
99651,59.0131,-161.8164,Platinum,AK,Alaska,Bethel Census Area
99655,59.7381,-161.8749,Quinhagak,AK,Alaska,Bethel Census Area
99656,61.7611,-157.3125,Red Devil,AK,Alaska,Bethel Census Area
99668,61.7025,-157.1697,Sleetmute,AK,Alaska,Bethel Census Area
99679,61.1088,-160.9389,Tuluksak,AK,Alaska,Bethel Census Area
99680,60.3431,-162.6631,Tuntutuliak,AK,Alaska,Bethel Census Area
99681,60.5856,-165.2558,Tununak,AK,Alaska,Bethel Census Area
99690,60.4794,-164.7239,Nightmute,AK,Alaska,Bethel Census Area
99613,58.6883,-156.6614,King Salmon,AK,Alaska,Bristol Bay
99633,58.783,-156.8992,Naknek,AK,Alaska,Bristol Bay
99670,58.6639,-156.9756,South Naknek,AK,Alaska,Bristol Bay
99574,60.5362,-145.7534,Cordova,AK,Alaska,Chugach Census Area
99677,60.8906,-146.6703,Tatitlek,AK,Alaska,Chugach Census Area
99686,61.101,-146.9,Valdez,AK,Alaska,Chugach Census Area
99693,60.7734,-148.6839,Whittier,AK,Alaska,Chugach Census Area
99566,61.5156,-144.4396,Chitina,AK,Alaska,Copper River Census Area
99573,61.977,-145.3297,Copper Center,AK,Alaska,Copper River Census Area
99586,62.3014,-145.3027,Gakona,AK,Alaska,Copper River Census Area
99588,62.1039,-145.6617,Glennallen,AK,Alaska,Copper River Census Area
99704,64.2966,-149.1608,Clear,AK,Alaska,Denali
99729,63.3955,-148.8973,Cantwell,AK,Alaska,Denali
99743,63.9171,-149.0111,Healy,AK,Alaska,Denali
99744,64.3442,-149.1869,Anderson,AK,Alaska,Denali
